# number of detected SNeII per unit of redshift interval 
#  z_sim 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
2.567756923e-02 3.002132241e+00 3.523252131e+00 3.776454385e+00
2.575186719e-02 3.020068016e+00 3.545707470e+00 3.798819046e+00
2.582617213e-02 3.038061994e+00 3.568247153e+00 3.821254577e+00
2.590048406e-02 3.056114219e+00 3.590871302e+00 3.843761022e+00
2.597480661e-02 3.074225619e+00 3.613581146e+00 3.866339525e+00
2.604913621e-02 3.092395376e+00 3.636375724e+00 3.888989058e+00
2.612347281e-02 3.110623518e+00 3.659255136e+00 3.911709642e+00
2.619781673e-02 3.128910165e+00 3.682219601e+00 3.934501419e+00
2.627217101e-02 3.147256118e+00 3.705270188e+00 3.957365374e+00
2.634653229e-02 3.165660593e+00 3.728405979e+00 3.980300520e+00
2.642090058e-02 3.184123633e+00 3.751627094e+00 4.003306900e+00
2.649527655e-02 3.202645453e+00 3.774933867e+00 4.026384769e+00
2.656966253e-02 3.221226679e+00 3.798327152e+00 4.049534897e+00
2.664405552e-02 3.239866608e+00 3.821806131e+00 4.072756398e+00
2.671845552e-02 3.258565285e+00 3.845370925e+00 4.096049317e+00
2.679286356e-02 3.277323012e+00 3.869021981e+00 4.119414018e+00
2.686728127e-02 3.296140248e+00 3.892759943e+00 4.142851063e+00
2.694170599e-02 3.315016370e+00 3.916584089e+00 4.166359664e+00
2.701613774e-02 3.333951422e+00 3.940494541e+00 4.189939865e+00
2.709057786e-02 3.352945794e+00 3.964491857e+00 4.213592141e+00
2.716502732e-02 3.371999781e+00 3.988576474e+00 4.237316847e+00
2.723948381e-02 3.391112836e+00 4.012747768e+00 4.261113293e+00
2.731394733e-02 3.410285004e+00 4.037005860e+00 4.284981523e+00
2.738841954e-02 3.429516759e+00 4.061351415e+00 4.308922116e+00
2.746290079e-02 3.448808238e+00 4.085784672e+00 4.332935231e+00
2.753738907e-02 3.468158968e+00 4.110305098e+00 4.357020269e+00
