# number of detected SNeII per unit of redshift interval 
#  z_random 	 dn_dz_Horiuchi dn_dz_Cole 	 dn_dz_Madau
2.167725136e-02 3.920680702e+02 4.501317434e+02 4.945744752e+02
2.175112302e-02 3.947865632e+02 4.534416040e+02 4.979779321e+02
2.182500155e-02 3.975149828e+02 4.567653751e+02 5.013935551e+02
2.189888711e-02 4.002533406e+02 4.601030828e+02 5.048213567e+02
2.197278315e-02 4.030017704e+02 4.634549021e+02 5.082615026e+02
2.204668607e-02 4.057601446e+02 4.668206895e+02 5.117138312e+02
2.212059587e-02 4.085284690e+02 4.702004639e+02 5.151783478e+02
2.219451334e-02 4.113067788e+02 4.735942804e+02 5.186550946e+02
2.226844066e-02 4.140951622e+02 4.770022585e+02 5.221441801e+02
2.234237487e-02 4.168935136e+02 4.804242813e+02 5.256454702e+02
2.241631597e-02 4.197018387e+02 4.838603675e+02 5.291589701e+02
2.249026536e-02 4.225201966e+02 4.873106013e+02 5.326847519e+02
2.256422399e-02 4.253486297e+02 4.907750469e+02 5.362228668e+02
2.263818951e-02 4.281870544e+02 4.942536135e+02 5.397732082e+02
2.271216194e-02 4.310354764e+02 4.977463200e+02 5.433357814e+02
2.278614325e-02 4.338939784e+02 5.012532799e+02 5.469106880e+02
2.286013322e-02 4.367625575e+02 5.047745015e+02 5.504979223e+02
2.293413010e-02 4.396411518e+02 5.083099206e+02 5.540974051e+02
2.300813388e-02 4.425297669e+02 5.118595562e+02 5.577091416e+02
2.308214713e-02 4.454285094e+02 5.154235509e+02 5.613332629e+02
2.315616847e-02 4.483373309e+02 5.190018571e+02 5.649697067e+02
2.323019672e-02 4.512561912e+02 5.225944375e+02 5.686184210e+02
2.330423188e-02 4.541850960e+02 5.262013108e+02 5.722794109e+02
2.337827709e-02 4.571241754e+02 5.298226490e+02 5.759528370e+02
2.345232982e-02 4.600733358e+02 5.334583488e+02 5.796385805e+02
2.352638948e-02 4.630325588e+02 5.371083993e+02 5.833366165e+02
2.360045605e-02 4.660018500e+02 5.407728192e+02 5.870469502e+02
2.367453322e-02 4.689813628e+02 5.444518097e+02 5.907697711e+02
2.374861738e-02 4.719709589e+02 5.481452118e+02 5.945049047e+02
2.382270846e-02 4.749706414e+02 5.518530412e+02 5.982523528e+02
2.389680694e-02 4.779804345e+02 5.555753398e+02 6.020121439e+02
2.397091562e-02 4.810004589e+02 5.593122683e+02 6.057844266e+02
2.404503123e-02 4.840305876e+02 5.630636818e+02 6.095690407e+02
2.411915378e-02 4.870708265e+02 5.668295991e+02 6.133659913e+02
2.419328424e-02 4.901212211e+02 5.706100884e+02 6.171753335e+02
2.426742439e-02 4.931818513e+02 5.744052607e+02 6.209971652e+02
2.434157149e-02 4.962526098e+02 5.782149946e+02 6.248313504e+02
2.441572553e-02 4.993335023e+02 5.820393088e+02 6.286778942e+02
2.448988797e-02 5.024245953e+02 5.858782978e+02 6.325368778e+02
2.456405963e-02 5.055259287e+02 5.897320229e+02 6.364083492e+02
2.463823824e-02 5.086374143e+02 5.936003863e+02 6.402921961e+02
2.471242380e-02 5.117590577e+02 5.974834067e+02 6.441884239e+02
2.478661824e-02 5.148909462e+02 6.013812042e+02 6.480971393e+02
2.486082143e-02 5.180330802e+02 6.052937914e+02 6.520183411e+02
2.493503158e-02 5.211853903e+02 6.092210934e+02 6.559519406e+02
2.500924869e-02 5.243478822e+02 6.131631291e+02 6.598979432e+02
2.508347514e-02 5.275206634e+02 6.171200442e+02 6.638564809e+02
2.515770989e-02 5.307036957e+02 6.210918027e+02 6.678275041e+02
2.523195161e-02 5.338969279e+02 6.250783527e+02 6.718109473e+02
2.530620030e-02 5.371003660e+02 6.290797131e+02 6.758068156e+02
2.538045877e-02 5.403141375e+02 6.330960547e+02 6.798152663e+02
2.545472511e-02 5.435381657e+02 6.371272939e+02 6.838362019e+02
2.552899843e-02 5.467724180e+02 6.411734012e+02 6.878695797e+02
2.560327872e-02 5.500169001e+02 6.452343955e+02 6.919154049e+02
2.567756923e-02 5.532717593e+02 6.493104728e+02 6.959738592e+02
2.575186719e-02 5.565368815e+02 6.534015020e+02 7.000447984e+02
2.582617213e-02 5.598122517e+02 6.575074761e+02 7.041282020e+02
2.590048406e-02 5.630978759e+02 6.616284138e+02 7.082240753e+02
2.597480661e-02 5.663939207e+02 6.657645360e+02 7.123326241e+02
2.604913621e-02 5.697002349e+02 6.699156647e+02 7.164536582e+02
2.612347281e-02 5.730168214e+02 6.740818151e+02 7.205871790e+02
2.619781673e-02 5.763436999e+02 6.782630235e+02 7.247332093e+02
2.627217101e-02 5.796810140e+02 6.824594819e+02 7.288919258e+02
2.634653229e-02 5.830286186e+02 6.866710197e+02 7.330631462e+02
2.642090058e-02 5.863865196e+02 6.908976559e+02 7.372468755e+02
2.649527655e-02 5.897547536e+02 6.951394480e+02 7.414431576e+02
2.656966253e-02 5.931334323e+02 6.993965484e+02 7.456521296e+02
2.664405552e-02 5.965224258e+02 7.036688051e+02 7.498736277e+02
2.671845552e-02 5.999217399e+02 7.079562368e+02 7.541076573e+02
2.679286356e-02 6.033314275e+02 7.122589218e+02 7.583542821e+02
2.686728127e-02 6.067515695e+02 7.165769740e+02 7.626136012e+02
2.694170599e-02 6.101820506e+02 7.209102591e+02 7.668854688e+02
2.701613774e-02 6.136228765e+02 7.252587961e+02 7.711698902e+02
2.709057786e-02 6.170741159e+02 7.296226833e+02 7.754669489e+02
2.716502732e-02 6.205358201e+02 7.340019970e+02 7.797767068e+02
2.723948381e-02 6.240078875e+02 7.383966205e+02 7.840990356e+02
2.731394733e-02 6.274903241e+02 7.428065726e+02 7.884339407e+02
2.738841954e-02 6.309832138e+02 7.472319712e+02 7.927815245e+02
2.746290079e-02 6.344865790e+02 7.516728564e+02 7.971418131e+02
2.753738907e-02 6.380003319e+02 7.561291281e+02 8.015146951e+02
